# Optical emission spectrum of Ce:LiYF4 (Ce:LiYF4)
# assuming unity concentration per meter.  This data was part of the NASA 
# Laser Spectra Database found on the web until December of 2005 which
# was created by Pat Cross working at NASA Langley Research Center, Internal
# Operations Group, Aerospace Electronics Systems Division, Remote Sensing.
#
# The spectra was collected by GA on 15 August 1994 and was 
# annotated on  6 April 1995.  The sample name was "" was a 9.990
# long piece of :.  
# The incident light was unpolarized.
#
# Spectra were recorded from 279.8nm to 399.4nm
# every 0.1nm at room temperature.  The
# excitation wavelength was unknown.
#
# SLIT WIDTH IS 1500 MICRONS, SAMPLE IS CYLINDRICAL SHAPE. C-AXIS IS CUT PERP. TO LONG AXIS OF CYLINDER. PUMP LIGHT IS ALONG A(=B & LONG AXIS) OF CRYSTAL. POLARIZER AFTER SAMPLE IS PLACED PARALLEL TO THE C-AXIS. (P-POL) CONCENTRATION IS ATOMIC PERCENT. FORMAT(1X,G15.8).
#
##Wavelength (nm)	Absorbance (/meter) 
279.8	9.25161917866717e-05
279.9	0.000132642167445612
280	0.000111492016796755
280.1	5.23107399587198e-05
280.2	0.000618122938957557
280.3	0.000660577447747384
280.4	0.000572643590899385
280.5	0.000654361699603805
280.6	0.000882470166781334
280.7	0.00020069511992598
280.8	0
280.9	0
281	0
281.1	0
281.2	0
281.3	0
281.4	0
281.5	0
281.6	0
281.7	0
281.8	0
281.9	0
282	0
282.1	0
282.2	0.000208025906858675
282.3	0.000238060781476122
282.4	0.000179023036226899
282.5	0.000128442978814263
282.6	0
282.7	0
282.8	0
282.9	0
283	0
283.1	0.000100849327418092
283.2	0.000104951246708263
283.3	0
283.4	0
283.5	0
283.6	0
283.7	0
283.8	0
283.9	0
284	0
284.1	0
284.2	0
284.3	0
284.4	7.54050912196626e-05
284.5	9.68233256624991e-05
284.6	0
284.7	0
284.8	0
284.9	0
285	0
285.1	0
285.2	0
285.3	0
285.4	0
285.5	6.23911650969135e-06
285.6	7.4618633009893e-05
285.7	0
285.8	0
285.9	0
286	0
286.1	0
286.2	0
286.3	7.83551991649071e-05
286.4	0.000258665274845199
286.5	0.00012905980878271
286.6	0.000213494341771251
286.7	0.000104597755687884
286.8	0
286.9	0
287	0
287.1	0
287.2	0
287.3	0
287.4	0
287.5	0
287.6	0
287.7	0
287.8	0
287.9	0
288	0
288.1	0
288.2	0
288.3	0
288.4	0.000218191739223269
288.5	0.000293160304619107
288.6	0.000495112808711537
288.7	0.000424533225783493
288.8	0.000384937486655121
288.9	0.00018266470546369
289	0.00044318047021423
289.1	0.000584090531659984
289.2	0.000791025123959099
289.3	0.000623911650969135
289.4	0.000215997247989371
289.5	0
289.6	0
289.7	0
289.8	0
289.9	0
290	0
290.1	0
290.2	0
290.3	0
290.4	0
290.5	0
290.6	3.73953168370857e-06
290.7	5.6205072240279e-06
290.8	7.0527389623022e-05
290.9	1.39700125738417e-05
291	2.18856017650827e-05
291.1	0.000264465848971555
291.2	0.000474282935161681
291.3	0.000750907451780503
291.4	0.000872802543237408
291.5	0.00108601219425399
291.6	0.000858484970700576
291.7	0.000748926478612607
291.8	0.000643531588811653
291.9	0.000462646200564637
292	0.000455884795141278
292.1	0.000295307347393893
292.2	0.000267229721714787
292.3	9.74603212260682e-05
292.4	0.000430820146615739
292.5	0.000329232995658466
292.6	0.000397392707171835
292.7	0.000575526084790396
292.8	0.00053078218784845
292.9	0.000328046784180684
293	0.000153875352897915
293.1	0.000183850916941472
293.2	0.00022080140447439
293.3	0.000475184455884795
293.4	0.000550425849920524
293.5	0.00078001708144528
293.6	0.000650743754596569
293.7	0.000496346468648431
293.8	0.000557175393229105
293.9	0.00053023653056867
294	0.000304085312329482
294.1	0.000335852055704491
294.2	0.00031374107375863
294.3	0.000389219710089915
294.4	0.000253315461080401
294.5	0.0005234276766862
294.6	0.000897736708500391
294.7	0.000712284406063913
294.8	0.000432504566914189
294.9	0.000495919432516429
295	0.000489003819600958
295.1	0.000342115252307181
295.2	0.000485848497070058
295.3	0.000570105098336931
295.4	0.000816303290550639
295.5	0.000833871082536594
295.6	0.000743339422552252
295.7	0.000751536143863728
295.8	0.00103894332281559
295.9	0.00114083888875709
296	0.000998007164717326
296.1	0.000887926739579132
296.2	0.00096698773457332
296.3	0.000738547128182012
296.4	0.00048436573272283
296.5	0.000506820715997248
296.6	0.000565716115869137
296.7	0.000559939265972337
296.8	0.000637920808521743
296.9	0.000783516405304738
297	0.00142879172498873
297.1	0.00186057270290147
297.2	0.00220208298735499
297.3	0.00232782140399991
297.4	0.00240326445398686
297.5	0.00217171597352376
297.6	0.00201501743730872
297.7	0.00182036013380465
297.8	0.00173151289411876
297.9	0.00169580792863752
298	0.00170055277454865
298.1	0.00172985219804987
298.2	0.00203067542881545
298.3	0.00238131954164788
298.4	0.00246198192213708
298.5	0.00236530568669782
298.6	0.00278747835164053
298.7	0.00276387274323266
298.8	0.0029047946667932
298.9	0.00297501838627791
299	0.0033040734502147
299.1	0.00343977604327299
299.2	0.00352292946786553
299.3	0.00356812412516903
299.4	0.00400666650850514
299.5	0.00419361343740362
299.6	0.00428957794595621
299.7	0.00465433797537425
299.8	0.00498457925078883
299.9	0.00521126426419302
300	0.00551007093544637
300.1	0.00576024293611065
300.2	0.00639711987853194
300.3	0.00669474033830751
300.4	0.00712687717966359
300.5	0.00760954662997319
300.6	0.00810846717752841
300.7	0.00876242556522977
300.8	0.00944793717824014
300.9	0.0100209959431567
301	0.0104896680980285
301.1	0.0111822969799056
301.2	0.0120495361913122
301.3	0.0126153590662143
301.4	0.0133211548954948
301.5	0.0142641930203317
301.6	0.0154598941899362
301.7	0.0163151526654172
301.8	0.0178263860881118
301.9	0.0190754667742165
302	0.0204704514720884
302.1	0.0217930772698157
302.2	0.0233683661123105
302.3	0.0251998766340063
302.4	0.0273730160613034
302.5	0.0294737965884558
302.6	0.0318284263718536
302.7	0.0341984769044625
302.8	0.0372375507105407
302.9	0.040771274702854
303	0.0453642855448269
303.1	0.0501886076249674
303.2	0.0550402125690968
303.3	0.0604671300799507
303.4	0.066528670731418
303.5	0.0731370548741429
303.6	0.0800443643092691
303.7	0.0881734715665109
303.8	0.0958909634409622
303.9	0.104754335602951
304	0.114259448174421
304.1	0.125074138217361
304.2	0.13668714858485
304.3	0.149237266019786
304.4	0.161763659225167
304.5	0.175903300040331
304.6	0.19029204526583
304.7	0.204823135868663
304.8	0.220943749851724
304.9	0.237823539180565
305	0.255130364641408
305.1	0.273611539465256
305.2	0.293195890963441
305.3	0.313456383003962
305.4	0.335081018243933
305.5	0.355780408531233
305.6	0.378484496215985
305.7	0.399931199734289
305.8	0.421449075941259
305.9	0.444509027069346
306	0.467343598016654
306.1	0.488707266731513
306.2	0.512253564565491
306.3	0.536025242580247
306.4	0.556890702474437
306.5	0.579582928044412
306.6	0.600151835069156
306.7	0.620815639012123
306.8	0.640957509904866
306.9	0.66354297644184
307	0.684503333254252
307.1	0.704763825294774
307.2	0.726720599748523
307.3	0.747301368888045
307.4	0.765569025645892
307.5	0.783160541861403
307.6	0.799803088894688
307.7	0.814096937201964
307.8	0.827014780195013
307.9	0.841332352731845
308	0.857915589191241
308.1	0.875317311570307
308.2	0.891105786339589
308.3	0.906479087091647
308.4	0.915980641028683
308.5	0.924580674242604
308.6	0.933145121112192
308.7	0.941187634931556
308.8	0.950238428507034
308.9	0.960522882019406
309	0.968233256624991
309.1	0.975338663376907
309.2	0.981269720765818
309.3	0.986797466252283
309.4	0.991388104671301
309.5	0.995267016203649
309.6	0.997129368223767
309.7	0.998196958553771
309.8	0.997591990700102
309.9	1
310	0.99880192640744
310.1	0.998446062964105
310.2	0.998315579701549
310.3	0.995836397712984
310.4	0.991305069867856
310.5	0.988707266731513
310.6	0.983725178524827
310.7	0.976014803919243
310.8	0.970392161514555
310.9	0.966465801523095
311	0.959728120329292
311.1	0.956643970487059
311.2	0.95146022632915
311.3	0.945718962776684
311.4	0.936442789020427
311.5	0.930037247040402
311.6	0.92111693672748
311.7	0.914818153780456
311.8	0.908732888899433
311.9	0.900773409883514
312	0.893644278902043
312.1	0.885056107802899
312.2	0.876800075917535
312.3	0.868342388080947
312.4	0.860003321392138
312.5	0.847156651087756
312.6	0.838177030200944
312.7	0.830241275414581
312.8	0.820810894166212
312.9	0.812317619985291
313	0.805769732627933
313.1	0.797715356693791
313.2	0.788059595264644
313.3	0.777917487129605
313.4	0.769092073734905
313.5	0.759021138288534
313.6	0.749341652629831
313.7	0.742093900500581
313.8	0.735688358520557
313.9	0.726981566273635
314	0.71987615952172
314.1	0.71099143555313
314.2	0.699924082465422
314.3	0.690920737349055
314.4	0.68310360371047
314.5	0.676057507532443
314.6	0.66888092809186
314.7	0.663365044720173
314.8	0.655037840146141
314.9	0.648537401247894
315	0.641337097577756
315.1	0.634160518137173
315.2	0.626153590662143
315.3	0.621230813029347
315.4	0.613876301867097
315.5	0.607968968707741
315.6	0.602844535123722
315.7	0.598336931508149
315.8	0.59081635073901
315.9	0.58640364404166
316	0.58106569239164
316.1	0.575881948233731
